Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CACNA2D4,72.41246514454082,-0.004489233638020999,0.04015869674804457,-1.6331343511975303,0.10244074332816007,0.7091344729594744
CACNB1,135.58963413561946,0.004786896334047977,0.04678050217753555,1.5931628327265428,0.11112366674196313,0.7267205459000081
CACNB2,33.29297997411095,-0.004258632713189067,0.032338607567838365,-3.3354838330297802,,0.06623303769822864
CACNB3,88.3289072195053,-0.0014320289783372165,0.041582718103790745,-0.41795330967428207,0.6759812546197839,0.9995925663468931
CACNB4,59.98504324827285,0.0010486487026344106,0.048526377079468434,0.915421350517728,0.35997047410656313,0.9747211567690703
CACNG1,1.524846321777279,0.0003855773600493915,0.06937860684026079,1.1897015168508052,,0.898547089916846
CACNG2,0.28742312119191693,-0.0004096901874002896,0.03629334700361629,-0.5320223427420211,0.594710521023847,0.9995925663468931
CACNG3,17.213167278718426,-0.0011244755442053778,0.03513909906344866,-1.3230317947024068,0.18582480462807893,0.8486978759358728
CACNG4,5.087903582734202,0.0015390996318953604,0.05150491303914304,1.447824059091366,0.14766626233231592,0.7968181103750782
CACNG5,0.49957089148872286,0.0004163033675670073,0.04875926976870201,0.6289190253628295,0.5294020698723465,0.9995925663468931
CACNG6,0.4892689816602487,0.0003019369789850546,0.06695068309945428,0.7406523022038703,,0.9995925663468931
CACNG7,0.3417607215718266,-0.00029774590907165246,0.035021832767645415,-0.5459418833687347,0.5851058867980676,0.9995925663468931
CACNG8,0.14034416650613404,-0.0001080253312998001,0.03545118441333494,-0.13974812246499366,0.8888590032123052,0.9995925663468931
CACYBP,2507.782968321066,0.002451129712203029,0.04285267588178845,0.5428384260380011,0.5872410536677518,0.9995925663468931
TSLC1,724.3437789709454,-0.003101242714291489,0.03729797510400874,-1.8500448012913122,0.06430709265995917,0.6043058289049678
CADM2,1.278553940125639,0.0007658410316878888,0.07123263726503375,1.6905707898531874,,0.6778190480303424
CADM3,311.30636370895667,0.0012685557467181773,0.046831775180768094,0.8456708461049837,0.39773639124148585,0.991991993065928
CADM4,62.71359313692318,-0.0011896432427218905,0.0412162442943515,-0.5914145414802731,0.554242699497139,0.9995925663468931
CADPS2,62.47929073615114,0.004373724387433427,0.04664467612181285,1.531626925331189,0.12561452426158584,0.7522834135832146
CADPS,22.01294394683679,0.0010546647994253337,0.06142378068271616,1.630461375873272,0.10300402200617019,0.7105825760123147
CAD,2361.7214665006722,-0.00375349508251306,0.04117208175939578,-0.9805101857120665,0.32683434426150626,0.9641907543800692
CAGE1,0.8570970035989428,-0.00177913043050208,0.03931644178978947,-1.6089007243617195,0.10763805108752039,0.717396349792215
CALB1,3.6274223209546634,0.001094648356101543,0.09027404239253663,2.6147882004984826,,0.24713479357258805
CALB2,3.938693064183981,0.00044466130326182885,0.05081520079696566,0.7184092175934716,,0.9995925663468931
CALCA,0.34914570797089955,-0.00023233606331118884,0.03654536089090617,-0.4113007577350754,0.6808520140387564,0.9995925663468931
CALCB,0.8152789569769826,-0.00024180183770893782,0.04117828707936331,-0.32065309457135216,0.748473296760962,0.9995925663468931
CALCOCO1,836.4243821845943,0.0011497726003646914,0.04263192748633126,0.313661488674765,0.7537781532172395,0.9995925663468931
CALCOCO2,1340.0234837452397,4.997767799520436e-05,0.04213934759882037,0.09362586966925389,0.9254063588504922,0.9995925663468931
CALCRL,130.60463494709836,0.0018750743565793561,0.04653427140989295,1.0048496302653918,0.31496926163128547,0.9573130367185954
