Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KCNS1,2.361329746712821,-0.003520301000835988,0.06889622918674423,-0.6851632211129319,,0.9955590582550441
KCNS2,1.6413623368175712,0.0009605364403725179,0.07324952325092918,0.24718406686688282,0.8047657755770521,0.9994535312272573
KCNS3,33.11917477259667,-0.009871727721863167,0.06754044078344211,-1.446631807725842,,0.743404340179703
KCNT1,2.067631466493351,-0.006155117463398955,0.06426503706002319,-1.611983455505276,0.10696553997616852,0.6719601771769098
KCNT2,5.184242802010819,-0.0001008886001247812,0.0706858777479333,-0.013976909075590979,0.9888484031268416,0.9994535312272573
KCNU1,0.08026812938466978,9.903797096073086e-05,0.07605991338466042,0.02559486028475114,0.9795804856272307,0.9994535312272573
KCNV1,0.13042315127213133,3.6807750913343084e-05,0.07346928456135181,-0.004382700617297783,0.9965031220375502,0.9994535312272573
KCNV2,1.048108818318804,-0.007636562844439601,0.0654640864246269,-1.862373288077573,0.06255049162929907,0.5586396377466728
KCP,80.73053187197146,0.0007265170009266725,0.0708084109563028,0.08465468080589673,0.9325359260500132,0.9994535312272573
KCTD10,1232.1060825494126,-0.008752473715797167,0.05748381173830663,-0.2866726379412413,0.7743629903705745,0.9994535312272573
KCTD11,465.5667728358594,0.0170635193353759,0.07301546059602972,1.0806798862453388,0.2798395332252709,0.8837930799334157
KCTD12,1951.2320063279265,0.027466964779147222,0.08175277074216007,1.536775546424664,0.12434828365721332,0.7030536669037812
KCTD13,319.46956812618504,-0.0015522325354680809,0.06558480471642408,-0.11845647072747087,0.9057059835210899,0.9994535312272573
KCTD14,45.07750219370487,-0.012835778910706806,0.06374431019964658,-2.60919608954555,,0.24223685149208235
KCTD15,154.26219546350532,-0.0024381772315972554,0.06973427401006113,-0.3227270211962682,0.7469019862827968,0.9994535312272573
KCTD16,2.3575931331553064,-0.002531744068730591,0.06984247487823218,-0.46266293226034444,0.6436059918962043,0.9994535312272573
